_id,crime_id,timestamp,location.type,location.coordinates[0],location.coordinates[1],crime_type,description,severity,status,officer_in_charge.name,officer_in_charge.badge,evidence[0],evidence[1],evidence[2],tags[0],tags[1],tags[2],witnesses[0].name,witnesses[1].name,witnesses[2].name,witnesses[0].contact,witnesses[1].contact,witnesses[2].contact
67e0f450f10dbf0e224c9b83,CID_021,2025-03-09T05:43:10.615Z,Point,80.115236,12.952781,Human Trafficking,Illegal trafficking operation uncovered,Critical,Under Investigation,Narcotics Officer Surya,TNPD-606,Eyewitness Testimony,CCTV Footage,DNA Sample,property_crime,financial,organized_crime,Person 42,Person 34,,+918922772350,+919484672966,
67e0f450f10dbf0e224c9b84,CID_022,2025-03-14T05:43:10.615Z,Point,80.233885,13.031851,Murder,Dead body found near railway track,Critical,Closed,Inspector Ramesh,TNPD-524,CCTV Footage,DNA Sample,Eyewitness Testimony,property_crime,financial,,Person 94,Person 32,Person 2,+919562945761,+916155716740,+919359497725
67e0f450f10dbf0e224c9b85,CID_023,2025-03-15T05:43:10.615Z,Point,80.126158,13.021088,Murder,Dead body found near railway track,Critical,Under Investigation,Officer Anita,TNPD-424,CCTV Footage,,,street_crime,public_disturbance,,,,,,,
67e0f450f10dbf0e224c9b86,CID_024,2025-02-28T05:43:10.615Z,Point,80.239496,12.90749,Assault,Domestic violence reported,High,Open,Inspector Ramesh,TNPD-130,Phone Records,,,financial,cyber,,Person 82,Person 47,,+918103951792,+919989839349,
67e0f450f10dbf0e224c9b87,CID_025,2025-03-16T05:43:10.615Z,Point,80.172973,12.91249,Human Trafficking,Children rescued from trafficking network,Critical,Pending Review,Narcotics Officer Surya,TNPD-493,Weapon Found,CCTV Footage,,cyber,property_crime,,Person 36,Person 73,,+917453250240,+917891504974,
67e0f450f10dbf0e224c9b88,CID_026,2025-03-13T05:43:10.615Z,Point,80.252269,12.914796,Fraud,Credit card fraud at shopping mall,Medium,Open,Officer Priya,TNPD-150,Phone Records,DNA Sample,Weapon Found,organized_crime,street_crime,public_disturbance,Person 29,Person 99,,+916681973447,+918423620912,
67e0f450f10dbf0e224c9b89,CID_027,2025-03-08T05:43:10.615Z,Point,80.143597,12.918156,Rape,Victim assaulted in an alley,Critical,Open,Sub-Inspector Kumar,TNPD-260,Eyewitness Testimony,,,organized_crime,cyber,,,,,,,
67e0f450f10dbf0e224c9b8a,CID_028,2025-02-23T05:43:10.615Z,Point,80.230144,13.074655,Human Trafficking,Illegal trafficking operation uncovered,Critical,Open,Narcotics Officer Surya,TNPD-613,Weapon Found,DNA Sample,,property_crime,,,,,,,,
67e0f450f10dbf0e224c9b8b,CID_029,2025-03-08T05:43:10.615Z,Point,80.280643,13.002107,Burglary,Shop break-in during midnight,High,Pending Review,Officer Vijay,TNPD-319,Eyewitness Testimony,DNA Sample,Weapon Found,day,,,Person 32,,,+919935481658,,
67e0f450f10dbf0e224c9b8c,CID_030,2025-03-22T05:43:10.615Z,Point,80.183928,13.008525,Fraud,Credit card fraud at shopping mall,Medium,Open,Officer Priya,TNPD-753,Weapon Found,,,night,cyber,,Person 5,,,+916887953320,,
67e0f450f10dbf0e224c9b8d,CID_031,2025-02-26T05:43:10.615Z,Point,80.235638,12.923432,Hit and Run,Cyclist injured in hit-and-run accident,Critical,Open,Officer Anita,TNPD-719,CCTV Footage,,,cyber,day,financial,Person 5,,,+917642160669,,
67e0f450f10dbf0e224c9b8e,CID_032,2025-03-02T05:43:10.615Z,Point,80.282793,13.070046,Murder,Gang violence led to fatality,Critical,Pending Review,Inspector Ramesh,TNPD-138,Phone Records,,,organized_crime,property_crime,,Person 53,Person 65,Person 2,+919348728351,+917738027929,+917286581637
67e0f450f10dbf0e224c9b8f,CID_033,2025-03-21T05:43:10.615Z,Point,80.140918,12.948277,Burglary,Home burglary in residential area,High,Open,Inspector Suresh,TNPD-109,Weapon Found,CCTV Footage,,cyber,public_disturbance,,Person 54,,,+919851476834,,
67e0f450f10dbf0e224c9b90,CID_034,2025-03-15T05:43:10.615Z,Point,80.170118,12.951517,Human Trafficking,Children rescued from trafficking network,Critical,Open,Officer Dinesh,TNPD-181,DNA Sample,,,day,violence,,Person 95,,,+917919837693,,
67e0f450f10dbf0e224c9b91,CID_035,2025-02-22T05:43:10.615Z,Point,80.135178,12.903856,Burglary,Home burglary in residential area,High,Open,Inspector Suresh,TNPD-419,Eyewitness Testimony,,,night,,,Person 8,Person 2,Person 36,+918104778670,+917650123399,+917998717131
67e0f450f10dbf0e224c9b92,CID_036,2025-03-20T05:43:10.615Z,Point,80.247981,12.969339,Rape,Sexual assault reported near isolated area,Critical,Open,Officer Anita,TNPD-673,Weapon Found,Eyewitness Testimony,CCTV Footage,organized_crime,public_disturbance,violence,Person 81,Person 89,Person 49,+919263748826,+919287249908,+919398570425
67e0f450f10dbf0e224c9b93,CID_037,2025-02-27T05:43:10.615Z,Point,80.290023,12.979404,Kidnapping,Abduction case reported,Critical,Open,Officer Vijay,TNPD-472,Eyewitness Testimony,DNA Sample,,organized_crime,day,,Person 2,Person 15,,+916081662361,+918211817206,
67e0f450f10dbf0e224c9b94,CID_038,2025-03-08T05:43:10.615Z,Point,80.181608,13.046719,Fraud,Online scam reported,Medium,Open,Inspector Meera,TNPD-380,Phone Records,CCTV Footage,Eyewitness Testimony,property_crime,,,Person 63,Person 18,,+917332059947,+916907952889,
67e0f450f10dbf0e224c9b95,CID_039,2025-02-27T05:43:10.615Z,Point,80.193897,12.951019,Fraud,Credit card fraud at shopping mall,Medium,Open,Inspector Meera,TNPD-510,Eyewitness Testimony,,,financial,narcotics,cyber,,,,,,
67e0f450f10dbf0e224c9b96,CID_040,2025-03-18T05:43:10.615Z,Point,80.211206,13.057273,Burglary,Home burglary in residential area,High,Pending Review,Officer Vijay,TNPD-556,DNA Sample,,,violence,public_disturbance,street_crime,Person 20,,,+917092993042,,
67e0f450f10dbf0e224c9b97,CID_041,2025-03-19T05:43:10.615Z,Point,80.285712,13.098868,Human Trafficking,Illegal trafficking operation uncovered,Critical,Pending Review,Officer Dinesh,TNPD-453,Eyewitness Testimony,Weapon Found,DNA Sample,violence,,,Person 3,Person 69,,+916724161570,+918012612091,
67e0f450f10dbf0e224c9b98,CID_042,2025-03-13T05:43:10.615Z,Point,80.130754,13.020852,Human Trafficking,Illegal trafficking operation uncovered,Critical,Open,Narcotics Officer Surya,TNPD-297,CCTV Footage,,,cyber,property_crime,night,Person 55,,,+918150524710,,
67e0f450f10dbf0e224c9b99,CID_043,2025-03-16T05:43:10.615Z,Point,80.271132,12.936889,Drug Possession,Drug trade suspected in abandoned house,High,Under Investigation,Officer Dinesh,TNPD-995,Eyewitness Testimony,Weapon Found,DNA Sample,street_crime,,,Person 76,,,+918946416907,,
67e0f450f10dbf0e224c9b9a,CID_044,2025-03-10T05:43:10.615Z,Point,80.298335,13.071499,Assault,Domestic violence reported,High,Open,Sub-Inspector Kumar,TNPD-300,Weapon Found,Phone Records,CCTV Footage,financial,public_disturbance,,,,,,,
67e0f450f10dbf0e224c9b9b,CID_045,2025-03-14T05:43:10.615Z,Point,80.236947,13.066328,Cyber Crime,Unauthorized access to personal data,Medium,Pending Review,Cyber Crime Specialist Rajesh,TNPD-848,DNA Sample,,,public_disturbance,street_crime,organized_crime,Person 99,Person 43,Person 3,+917816204576,+918128450013,+917405983988
67e0f450f10dbf0e224c9b9c,CID_046,2025-03-23T05:43:10.615Z,Point,80.23689,12.956819,Kidnapping,Abduction case reported,Critical,Pending Review,Officer Vijay,TNPD-728,DNA Sample,Weapon Found,CCTV Footage,organized_crime,day,,Person 31,Person 79,,+919120382476,+917663911575,
67e0f450f10dbf0e224c9b9d,CID_047,2025-03-14T05:43:10.615Z,Point,80.119321,13.089109,Human Trafficking,Illegal trafficking operation uncovered,Critical,Open,Officer Dinesh,TNPD-505,Eyewitness Testimony,Phone Records,,day,street_crime,,,,,,,
67e0f450f10dbf0e224c9b9e,CID_048,2025-03-18T05:43:10.615Z,Point,80.18811,13.081483,Hit and Run,Speeding vehicle hit pedestrian and fled,Critical,Open,Sub-Inspector Kumar,TNPD-293,Eyewitness Testimony,,,night,,,Person 66,Person 68,,+916426246942,+919026073301,
67e0f450f10dbf0e224c9b9f,CID_049,2025-03-01T05:43:10.615Z,Point,80.297298,13.078845,Fraud,Online scam reported,Medium,Under Investigation,Inspector Meera,TNPD-526,Phone Records,,,financial,street_crime,night,,,,,,
67e0f450f10dbf0e224c9ba0,CID_050,2025-02-26T05:43:10.615Z,Point,80.245688,13.039878,Cyber Crime,Unauthorized access to personal data,Medium,Pending Review,Cyber Crime Specialist Rajesh,TNPD-322,CCTV Footage,DNA Sample,,property_crime,,,,,,,,
67e0f450f10dbf0e224c9ba1,CID_051,2025-03-22T05:43:10.615Z,Point,80.198396,13.041451,Drug Possession,Drug trade suspected in abandoned house,High,Under Investigation,Narcotics Officer Surya,TNPD-227,Eyewitness Testimony,DNA Sample,,street_crime,,,Person 64,,,+919045940793,,
67e0f450f10dbf0e224c9ba2,CID_052,2025-03-11T05:43:10.615Z,Point,80.19759,13.095886,Extortion,Criminal gang demanding protection money,High,Open,Officer Priya,TNPD-963,DNA Sample,CCTV Footage,,cyber,,,Person 1,Person 73,,+919256920169,+916097439338,
67e0f450f10dbf0e224c9ba3,CID_053,2025-03-21T05:43:10.615Z,Point,80.179158,13.070022,Human Trafficking,Illegal trafficking operation uncovered,Critical,Pending Review,Narcotics Officer Surya,TNPD-179,Eyewitness Testimony,CCTV Footage,,night,street_crime,organized_crime,,,,,,
67e0f450f10dbf0e224c9ba4,CID_054,2025-03-15T05:43:10.615Z,Point,80.135241,13.077587,Assault,Domestic violence reported,High,Under Investigation,Inspector Ramesh,TNPD-255,CCTV Footage,Eyewitness Testimony,,night,street_crime,,,,,,,
67e0f450f10dbf0e224c9ba5,CID_055,2025-03-07T05:43:10.615Z,Point,80.201946,13.000303,Human Trafficking,Illegal trafficking operation uncovered,Critical,Under Investigation,Officer Dinesh,TNPD-520,Phone Records,Eyewitness Testimony,,day,night,,Person 57,Person 54,,+916992179586,+919460257871,
67e0f450f10dbf0e224c9ba6,CID_056,2025-02-28T05:43:10.615Z,Point,80.26214,12.958735,Assault,Domestic violence reported,High,Under Investigation,Officer Anita,TNPD-449,DNA Sample,CCTV Footage,Eyewitness Testimony,narcotics,night,violence,Person 92,,,+918954017315,,
67e0f450f10dbf0e224c9ba7,CID_057,2025-03-06T05:43:10.615Z,Point,80.188515,13.059206,Arson,Suspected arson at marketplace,High,Open,Inspector Suresh,TNPD-203,Weapon Found,Eyewitness Testimony,DNA Sample,public_disturbance,,,Person 7,Person 63,,+916511217147,+919533135626,
67e0f450f10dbf0e224c9ba8,CID_058,2025-03-05T05:43:10.615Z,Point,80.175799,12.915756,Cyber Crime,Phishing attack on corporate accounts,Medium,Under Investigation,Cyber Crime Specialist Rajesh,TNPD-383,CCTV Footage,,,organized_crime,day,,,,,,,
67e0f450f10dbf0e224c9ba9,CID_059,2025-02-26T05:43:10.615Z,Point,80.158957,12.995822,Burglary,Home burglary in residential area,High,Under Investigation,Inspector Suresh,TNPD-326,Eyewitness Testimony,Phone Records,,property_crime,public_disturbance,violence,Person 30,Person 59,,+918642345252,+919028121363,
67e0f450f10dbf0e224c9baa,CID_060,2025-03-04T05:43:10.615Z,Point,80.238965,13.076741,Kidnapping,Abduction case reported,Critical,Pending Review,Officer Vijay,TNPD-261,Eyewitness Testimony,Phone Records,CCTV Footage,street_crime,public_disturbance,violence,Person 60,Person 69,,+918884555696,+918619347910,
67e0f450f10dbf0e224c9bab,CID_061,2025-02-25T05:43:10.615Z,Point,80.130132,13.001616,Human Trafficking,Illegal trafficking operation uncovered,Critical,Open,Officer Dinesh,TNPD-700,Phone Records,,,violence,,,,,,,,
67e0f450f10dbf0e224c9bac,CID_062,2025-03-02T05:43:10.615Z,Point,80.204164,12.95566,Hit and Run,Speeding vehicle hit pedestrian and fled,Critical,Open,Officer Anita,TNPD-914,Phone Records,Eyewitness Testimony,Weapon Found,organized_crime,violence,public_disturbance,Person 50,,,+916566937898,,
67e0f450f10dbf0e224c9bad,CID_063,2025-02-26T05:43:10.615Z,Point,80.238058,12.930656,Theft,Pickpocketing at railway station,Medium,Open,Officer Vijay,TNPD-328,CCTV Footage,,,organized_crime,night,cyber,Person 9,,,+916409564732,,
67e0f450f10dbf0e224c9bae,CID_064,2025-03-05T05:43:10.615Z,Point,80.159851,13.049681,Drug Possession,Drug trade suspected in abandoned house,High,Pending Review,Officer Dinesh,TNPD-562,Phone Records,,,day,,,,,,,,
67e0f450f10dbf0e224c9baf,CID_065,2025-03-12T05:43:10.615Z,Point,80.213891,13.075149,Hit and Run,Speeding vehicle hit pedestrian and fled,Critical,Closed,Inspector Ramesh,TNPD-392,Phone Records,DNA Sample,Weapon Found,day,property_crime,night,,,,,,
67e0f450f10dbf0e224c9bb0,CID_066,2025-03-11T05:43:10.615Z,Point,80.195775,12.950178,Theft,Snatch theft near ATM,Medium,Open,Officer Vijay,TNPD-731,CCTV Footage,,,financial,violence,day,Person 18,Person 27,Person 57,+917853413239,+919422393466,+919874239610
67e0f450f10dbf0e224c9bb1,CID_067,2025-03-22T05:43:10.615Z,Point,80.132933,13.090535,Rape,Sexual assault reported near isolated area,Critical,Closed,Inspector Ramesh,TNPD-552,Eyewitness Testimony,,,public_disturbance,financial,violence,Person 1,Person 86,Person 22,+919664767022,+916428201760,+916169912017
67e0f450f10dbf0e224c9bb2,CID_068,2025-02-23T05:43:10.615Z,Point,80.166037,12.988116,Theft,Pickpocketing at railway station,Medium,Open,Officer Vijay,TNPD-806,CCTV Footage,,,organized_crime,day,public_disturbance,Person 68,,,+916250344050,,
67e0f450f10dbf0e224c9bb3,CID_069,2025-02-24T05:43:10.615Z,Point,80.170935,12.930371,Extortion,Business owner threatened for money,High,Pending Review,Officer Priya,TNPD-337,Weapon Found,DNA Sample,,organized_crime,property_crime,,Person 16,,,+918750467128,,
67e0f450f10dbf0e224c9bb4,CID_070,2025-03-12T05:43:10.615Z,Point,80.290928,12.920235,Kidnapping,Abduction case reported,Critical,Under Investigation,Inspector Suresh,TNPD-865,DNA Sample,CCTV Footage,,public_disturbance,organized_crime,,,,,,,
67e0f450f10dbf0e224c9bb5,CID_071,2025-02-25T05:43:10.615Z,Point,80.107598,12.99893,Murder,Homicide case in residential complex,Critical,Closed,Sub-Inspector Kumar,TNPD-790,Phone Records,,,street_crime,financial,,Person 61,,,+917468396944,,
67e0f450f10dbf0e224c9bb6,CID_072,2025-03-06T05:43:10.615Z,Point,80.19109,13.043093,Rape,Sexual assault reported near isolated area,Critical,Pending Review,Officer Anita,TNPD-324,DNA Sample,CCTV Footage,,cyber,,,Person 34,Person 97,,+916505293175,+919213842261,
67e0f450f10dbf0e224c9bb7,CID_073,2025-03-08T05:43:10.615Z,Point,80.193534,13.074881,Vandalism,Car vandalism in parking lot,Low,Under Investigation,Inspector Suresh,TNPD-188,CCTV Footage,Eyewitness Testimony,,organized_crime,narcotics,night,Person 6,,,+918863101293,,
67e0f450f10dbf0e224c9bb8,CID_074,2025-03-23T05:43:10.615Z,Point,80.114709,13.048446,Human Trafficking,Children rescued from trafficking network,Critical,Open,Officer Dinesh,TNPD-530,DNA Sample,CCTV Footage,,violence,narcotics,,Person 71,,,+916671286026,,
67e0f450f10dbf0e224c9bb9,CID_075,2025-03-15T05:43:10.615Z,Point,80.291911,12.939816,Drug Possession,Illegal substances found during routine check,High,Open,Narcotics Officer Surya,TNPD-351,CCTV Footage,DNA Sample,Weapon Found,organized_crime,,,,,,,,
67e0f450f10dbf0e224c9bba,CID_076,2025-02-28T05:43:10.615Z,Point,80.25091,12.993052,Kidnapping,Abduction case reported,Critical,Pending Review,Officer Vijay,TNPD-731,Eyewitness Testimony,Phone Records,CCTV Footage,property_crime,,,Person 58,Person 83,,+918639734715,+916819094796,
67e0f450f10dbf0e224c9bbb,CID_077,2025-03-24T05:43:10.615Z,Point,80.276341,12.965476,Assault,Physical altercation outside a pub,High,Under Investigation,Inspector Ramesh,TNPD-823,Eyewitness Testimony,,,violence,night,,Person 78,Person 99,,+916918862676,+917527092649,
67e0f450f10dbf0e224c9bbc,CID_078,2025-02-22T05:43:10.615Z,Point,80.219071,13.034479,Arson,Suspected arson at marketplace,High,Open,Officer Vijay,TNPD-867,Phone Records,Weapon Found,Eyewitness Testimony,public_disturbance,financial,,Person 16,Person 91,,+918033459103,+918630980434,
67e0f450f10dbf0e224c9bbd,CID_079,2025-03-19T05:43:10.615Z,Point,80.250607,13.007609,Theft,Pickpocketing at railway station,Medium,Open,Inspector Suresh,TNPD-399,CCTV Footage,Eyewitness Testimony,,public_disturbance,,,Person 79,,,+918454227045,,
67e0f450f10dbf0e224c9bbe,CID_080,2025-03-15T05:43:10.615Z,Point,80.182681,12.938398,Vandalism,Car vandalism in parking lot,Low,Open,Officer Vijay,TNPD-620,Weapon Found,,,street_crime,night,financial,Person 47,Person 96,Person 86,+919150035049,+916153445114,+917517750328
67e0f450f10dbf0e224c9bbf,CID_081,2025-02-27T05:43:10.615Z,Point,80.11983,12.946755,Murder,Homicide case in residential complex,Critical,Pending Review,Inspector Ramesh,TNPD-350,Weapon Found,,,property_crime,public_disturbance,,Person 18,Person 63,,+916545049105,+918341310585,
67e0f450f10dbf0e224c9bc0,CID_082,2025-03-09T05:43:10.615Z,Point,80.163544,12.979308,Extortion,Business owner threatened for money,High,Pending Review,Officer Priya,TNPD-796,Eyewitness Testimony,,,day,public_disturbance,,Person 94,Person 37,Person 72,+917406106964,+918135378289,+917184534940
67e0f450f10dbf0e224c9bc1,CID_083,2025-03-03T05:43:10.615Z,Point,80.226412,13.056238,Fraud,Online scam reported,Medium,Open,Inspector Meera,TNPD-103,Eyewitness Testimony,Weapon Found,Phone Records,violence,organized_crime,narcotics,Person 97,Person 19,Person 23,+919265969255,+918414942516,+919073547294
67e0f450f10dbf0e224c9bc2,CID_084,2025-03-22T05:43:10.615Z,Point,80.258416,13.046695,Fraud,Online scam reported,Medium,Pending Review,Inspector Meera,TNPD-280,DNA Sample,Eyewitness Testimony,CCTV Footage,street_crime,cyber,,Person 85,Person 25,Person 65,+916313354072,+916667568966,+918988996301
67e0f450f10dbf0e224c9bc3,CID_085,2025-03-05T05:43:10.615Z,Point,80.104718,13.000301,Vandalism,Graffiti on government buildings,Low,Closed,Officer Vijay,TNPD-729,Phone Records,DNA Sample,,property_crime,,,,,,,,
67e0f450f10dbf0e224c9bc4,CID_086,2025-02-23T05:43:10.615Z,Point,80.144441,12.992835,Burglary,Shop break-in during midnight,High,Open,Officer Vijay,TNPD-277,Eyewitness Testimony,,,property_crime,narcotics,violence,Person 77,,,+918271270245,,
67e0f450f10dbf0e224c9bc5,CID_087,2025-02-28T05:43:10.615Z,Point,80.299508,13.035711,Vandalism,Graffiti on government buildings,Low,Pending Review,Inspector Suresh,TNPD-144,CCTV Footage,Phone Records,,public_disturbance,,,Person 55,Person 48,Person 20,+919193981767,+917163249973,+917157203390
67e0f450f10dbf0e224c9bc6,CID_088,2025-02-23T05:43:10.615Z,Point,80.186513,12.977526,Hit and Run,Cyclist injured in hit-and-run accident,Critical,Under Investigation,Officer Anita,TNPD-116,CCTV Footage,Weapon Found,Eyewitness Testimony,public_disturbance,street_crime,property_crime,Person 73,,,+919594651649,,
67e0f450f10dbf0e224c9bc7,CID_089,2025-03-13T05:43:10.615Z,Point,80.16825,12.95254,Extortion,Criminal gang demanding protection money,High,Open,Inspector Meera,TNPD-141,Phone Records,DNA Sample,,night,cyber,,Person 61,Person 28,,+917997117948,+919157427831,
67e0f450f10dbf0e224c9bc8,CID_090,2025-03-07T05:43:10.615Z,Point,80.196202,13.027895,Drug Possession,Drug trade suspected in abandoned house,High,Open,Officer Dinesh,TNPD-465,Phone Records,Weapon Found,,narcotics,cyber,public_disturbance,Person 29,Person 34,,+919127811447,+918352514829,
67e0f450f10dbf0e224c9bc9,CID_091,2025-03-06T05:43:10.615Z,Point,80.123846,12.954325,Human Trafficking,Children rescued from trafficking network,Critical,Pending Review,Officer Dinesh,TNPD-574,Phone Records,Eyewitness Testimony,DNA Sample,organized_crime,narcotics,violence,,,,,,
67e0f450f10dbf0e224c9bca,CID_092,2025-03-10T05:43:10.615Z,Point,80.108195,12.980816,Theft,Snatch theft near ATM,Medium,Under Investigation,Officer Vijay,TNPD-197,DNA Sample,CCTV Footage,Eyewitness Testimony,cyber,day,,Person 89,Person 85,,+919124743583,+918426986890,
67e0f450f10dbf0e224c9bcb,CID_093,2025-03-21T05:43:10.615Z,Point,80.234848,12.916069,Assault,Physical altercation outside a pub,High,Open,Sub-Inspector Kumar,TNPD-133,DNA Sample,Eyewitness Testimony,,day,public_disturbance,,Person 8,Person 92,,+917616330598,+918836601019,
67e0f450f10dbf0e224c9bcc,CID_094,2025-03-14T05:43:10.615Z,Point,80.192716,13.072075,Murder,Dead body found near railway track,Critical,Under Investigation,Officer Anita,TNPD-469,DNA Sample,Weapon Found,Phone Records,financial,,,Person 53,Person 3,,+917249485843,+916408174194,
67e0f450f10dbf0e224c9bcd,CID_095,2025-03-23T05:43:10.615Z,Point,80.176732,12.997552,Kidnapping,Child kidnapping attempt foiled,Critical,Under Investigation,Officer Vijay,TNPD-567,Phone Records,CCTV Footage,Eyewitness Testimony,night,financial,,Person 89,,,+919692963100,,
67e0f450f10dbf0e224c9bce,CID_096,2025-03-05T05:43:10.615Z,Point,80.154029,12.993711,Extortion,Business owner threatened for money,High,Open,Inspector Meera,TNPD-406,Eyewitness Testimony,Weapon Found,,organized_crime,narcotics,night,Person 74,Person 40,,+917514627487,+917624693854,
67e0f450f10dbf0e224c9bcf,CID_097,2025-02-23T05:43:10.615Z,Point,80.285326,12.954009,Burglary,Shop break-in during midnight,High,Open,Inspector Suresh,TNPD-539,DNA Sample,Phone Records,,violence,,,,,,,,
